Feature,Importance
Store,0.07316584295110334
Dept,0.6263959543334322
Size,0.21266625775306525
IsHoliday,0.0022170716941395884
Year,0.007077175310826571
Month,0.009630024965721537
Week,0.05518519474330084
Type_B,0.012426735363948282
Type_C,0.0012357428844623829
